  p_brand   |          p_type           | p_size | supplier_cnt 
 Brand#34   | MEDIUM ANODIZED STEEL     |     15 |          452
 Brand#34   | MEDIUM BRUSHED TIN        |     15 |          452
 Brand#34   | MEDIUM BURNISHED COPPER   |     24 |          452
 Brand#34   | MEDIUM POLISHED TIN       |     21 |          452
 Brand#34   | MEDIUM POLISHED TIN       |     24 |          452
 Brand#34   | PROMO ANODIZED COPPER     |     24 |          452
 Brand#34   | PROMO ANODIZED TIN        |     15 |          452
 Brand#34   | PROMO BRUSHED COPPER      |     15 |          452
 Brand#34   | PROMO BURNISHED NICKEL    |     10 |          452
 Brand#34   | PROMO PLATED BRASS        |      5 |          452
 Brand#34   | PROMO PLATED COPPER       |      5 |          452
 Brand#34   | PROMO POLISHED COPPER     |     46 |          452
 Brand#34   | PROMO POLISHED NICKEL     |     24 |          452
 Brand#34   | SMALL ANODIZED COPPER     |      5 |          452
 Brand#34   | SMALL ANODIZED COPPER     |     15 |          452
 Brand#34   | STANDARD ANODIZED TIN     |     21 |          452
 Brand#34   | STANDARD BRUSHED STEEL    |     27 |          452
 Brand#34   | STANDARD BURNISHED NICKEL |      3 |          452
 Brand#34   | STANDARD BURNISHED STEEL  |     27 |          452
 Brand#34   | STANDARD PLATED BRASS     |     27 |          452
 Brand#34   | STANDARD PLATED COPPER    |      3 |          452
 Brand#34   | STANDARD PLATED STEEL     |     15 |          452
 Brand#34   | STANDARD POLISHED COPPER  |      5 |          452
 Brand#35   | ECONOMY ANODIZED BRASS    |     21 |          452
 Brand#35   | ECONOMY ANODIZED COPPER   |      5 |          452
 Brand#35   | ECONOMY BURNISHED BRASS   |     46 |          452
 Brand#35   | ECONOMY BURNISHED NICKEL  |     46 |          452
 Brand#35   | ECONOMY PLATED NICKEL     |      3 |          452
 Brand#35   | ECONOMY PLATED NICKEL     |      5 |          452
 Brand#35   | ECONOMY POLISHED BRASS    |     46 |          452
 Brand#35   | LARGE ANODIZED BRASS      |     46 |          452
 Brand#35   | LARGE ANODIZED TIN        |      5 |          452
 Brand#35   | LARGE BRUSHED TIN         |      3 |          452
 Brand#35   | LARGE BURNISHED NICKEL    |     21 |          452
 Brand#35   | LARGE PLATED COPPER       |      3 |          452
 Brand#35   | LARGE PLATED COPPER       |     21 |          452
 Brand#35   | MEDIUM ANODIZED BRASS     |     21 |          452
 Brand#35   | MEDIUM ANODIZED BRASS     |     27 |          452
 Brand#35   | MEDIUM ANODIZED TIN       |      5 |          452
 Brand#35   | MEDIUM BURNISHED TIN      |     10 |          452
 Brand#35   | MEDIUM PLATED NICKEL      |     10 |          452
 Brand#35   | MEDIUM PLATED STEEL       |     24 |          452
 Brand#35   | MEDIUM POLISHED COPPER    |      5 |          452
 Brand#35   | MEDIUM POLISHED STEEL     |     46 |          452
 Brand#35   | MEDIUM POLISHED TIN       |     46 |          452
 Brand#35   | PROMO ANODIZED TIN        |     46 |          452
 Brand#35   | PROMO POLISHED BRASS      |     27 |          452
 Brand#35   | PROMO POLISHED STEEL      |     10 |          452
 Brand#35   | SMALL ANODIZED TIN        |     46 |          452
 Brand#35   | SMALL BRUSHED BRASS       |      3 |          452
 Brand#35   | SMALL BRUSHED STEEL       |      3 |          452
 Brand#35   | SMALL PLATED BRASS        |     46 |          452
 Brand#35   | SMALL POLISHED BRASS      |     10 |          452
 Brand#35   | SMALL POLISHED BRASS      |     46 |          452
 Brand#35   | SMALL POLISHED COPPER     |     21 |          452
 Brand#35   | SMALL POLISHED STEEL      |     21 |          452
 Brand#35   | SMALL POLISHED TIN        |     15 |          452
 Brand#35   | STANDARD ANODIZED BRASS   |     15 |          452
 Brand#35   | STANDARD ANODIZED BRASS   |     27 |          452
 Brand#35   | STANDARD ANODIZED NICKEL  |      5 |          452
 Brand#35   | STANDARD BRUSHED BRASS    |      5 |          452
 Brand#35   | STANDARD BURNISHED TIN    |     24 |          452
 Brand#41   | ECONOMY ANODIZED NICKEL   |     10 |          452
 Brand#41   | ECONOMY PLATED BRASS      |     24 |          452
 Brand#41   | LARGE ANODIZED COPPER     |      3 |          452
 Brand#41   | LARGE ANODIZED COPPER     |     46 |          452
 Brand#41   | LARGE ANODIZED TIN        |     27 |          452
 Brand#41   | MEDIUM ANODIZED BRASS     |     21 |          452
 Brand#41   | MEDIUM POLISHED BRASS     |     24 |          452
 Brand#41   | MEDIUM POLISHED COPPER    |     10 |          452
 Brand#41   | MEDIUM POLISHED COPPER    |     15 |          452
 Brand#41   | PROMO ANODIZED BRASS      |     21 |          452
 Brand#41   | PROMO ANODIZED TIN        |      5 |          452
 Brand#41   | PROMO BRUSHED NICKEL      |     21 |          452
 Brand#41   | PROMO BRUSHED TIN         |      5 |          452
 Brand#41   | PROMO BURNISHED NICKEL    |      5 |          452
 Brand#41   | PROMO PLATED BRASS        |      5 |          452
 Brand#41   | PROMO PLATED STEEL        |     24 |          452
 Brand#41   | SMALL ANODIZED BRASS      |     10 |          452
 Brand#41   | SMALL ANODIZED BRASS      |     15 |          452
 Brand#41   | SMALL ANODIZED NICKEL     |     15 |          452
 Brand#41   | SMALL ANODIZED STEEL      |     46 |          452
 Brand#41   | SMALL BURNISHED NICKEL    |     10 |          452
 Brand#41   | SMALL BURNISHED STEEL     |     24 |          452
 Brand#41   | SMALL BURNISHED TIN       |     27 |          452
 Brand#41   | SMALL POLISHED BRASS      |      3 |          452
 Brand#41   | SMALL POLISHED BRASS      |     10 |          452
 Brand#41   | SMALL POLISHED BRASS      |     15 |          452
 Brand#41   | SMALL POLISHED COPPER     |     27 |          452
 Brand#41   | SMALL POLISHED NICKEL     |     21 |          452
 Brand#41   | SMALL POLISHED TIN        |     24 |          452
 Brand#41   | STANDARD ANODIZED COPPER  |     24 |          452
 Brand#41   | STANDARD BRUSHED COPPER   |      5 |          452
 Brand#41   | STANDARD BURNISHED BRASS  |     27 |          452
 Brand#41   | STANDARD BURNISHED TIN    |     27 |          452
 Brand#42   | ECONOMY BRUSHED COPPER    |      3 |          452
 Brand#42   | ECONOMY BRUSHED STEEL     |      3 |          452
 Brand#42   | ECONOMY BURNISHED BRASS   |     24 |          452
 Brand#42   | ECONOMY BURNISHED STEEL   |      5 |          452
 Brand#42   | LARGE ANODIZED BRASS      |      3 |          452
 Brand#42   | LARGE PLATED COPPER       |     27 |          452
 Brand#42   | MEDIUM ANODIZED BRASS     |      5 |          452
 Brand#42   | MEDIUM BURNISHED COPPER   |      3 |          452
 Brand#42   | MEDIUM BURNISHED NICKEL   |     10 |          452
 Brand#42   | MEDIUM PLATED STEEL       |      5 |          452
 Brand#42   | MEDIUM PLATED STEEL       |     46 |          452
 Brand#42   | MEDIUM PLATED TIN         |     21 |          452
 Brand#42   | MEDIUM POLISHED TIN       |     10 |          452
 Brand#42   | PROMO BRUSHED COPPER      |      3 |          452
 Brand#42   | PROMO BURNISHED COPPER    |     24 |          452
 Brand#42   | PROMO BURNISHED NICKEL    |      5 |          452
 Brand#42   | PROMO PLATED COPPER       |     21 |          452
 Brand#42   | PROMO POLISHED TIN        |     24 |          452
 Brand#42   | SMALL BRUSHED TIN         |      3 |          452
 Brand#42   | SMALL PLATED BRASS        |     15 |          452
 Brand#42   | SMALL PLATED TIN          |     27 |          452
 Brand#42   | STANDARD POLISHED BRASS   |      5 |          452
 Brand#42   | STANDARD POLISHED NICKEL  |     21 |          452
 Brand#43   | ECONOMY POLISHED BRASS    |     24 |          452
 Brand#43   | ECONOMY POLISHED COPPER   |     24 |          452
 Brand#43   | ECONOMY POLISHED STEEL    |      3 |          452
 Brand#43   | LARGE ANODIZED COPPER     |      3 |          452
 Brand#43   | LARGE BRUSHED NICKEL      |      3 |          452
 Brand#43   | LARGE BURNISHED COPPER    |      5 |          452
 Brand#43   | MEDIUM BRUSHED COPPER     |      3 |          452
 Brand#43   | MEDIUM BURNISHED BRASS    |     10 |          452
 Brand#43   | MEDIUM BURNISHED STEEL    |     27 |          452
 Brand#43   | MEDIUM PLATED TIN         |     15 |          452
 Brand#43   | MEDIUM PLATED TIN         |     24 |          452
 Brand#43   | MEDIUM PLATED TIN         |     46 |          452
 Brand#43   | PROMO BURNISHED NICKEL    |     24 |          452
 Brand#43   | PROMO PLATED NICKEL       |     21 |          452
 Brand#43   | PROMO POLISHED BRASS      |     15 |          452
 Brand#43   | PROMO POLISHED BRASS      |     21 |          452
 Brand#43   | PROMO POLISHED COPPER     |      3 |          452
 Brand#43   | PROMO POLISHED COPPER     |     27 |          452
 Brand#43   | SMALL BRUSHED STEEL       |     10 |          452
 Brand#43   | SMALL PLATED NICKEL       |     21 |          452
 Brand#43   | SMALL PLATED TIN          |     27 |          452
 Brand#43   | STANDARD PLATED NICKEL    |     21 |          452
 Brand#43   | STANDARD PLATED STEEL     |     10 |          452
 Brand#43   | STANDARD POLISHED NICKEL  |     24 |          452
 Brand#43   | STANDARD POLISHED STEEL   |     27 |          452
 Brand#44   | ECONOMY ANODIZED COPPER   |     21 |          452
 Brand#44   | ECONOMY BURNISHED TIN     |     21 |          452
 Brand#44   | LARGE ANODIZED NICKEL     |     21 |          452
 Brand#44   | LARGE BRUSHED COPPER      |     10 |          452
 Brand#44   | LARGE BURNISHED BRASS     |     27 |          452
 Brand#44   | LARGE BURNISHED NICKEL    |     10 |          452
 Brand#44   | LARGE PLATED STEEL        |      5 |          452
 Brand#44   | MEDIUM ANODIZED BRASS     |     15 |          452
 Brand#44   | MEDIUM BRUSHED NICKEL     |     10 |          452
 Brand#44   | MEDIUM PLATED BRASS       |     21 |          452
 Brand#44   | MEDIUM POLISHED STEEL     |     24 |          452
 Brand#44   | PROMO ANODIZED COPPER     |     15 |          452
 Brand#44   | PROMO ANODIZED TIN        |     15 |          452
 Brand#44   | PROMO BRUSHED NICKEL      |      3 |          452
 Brand#44   | PROMO BRUSHED NICKEL      |     15 |          452
 Brand#44   | PROMO PLATED COPPER       |      5 |          452
 Brand#44   | PROMO PLATED TIN          |     10 |          452
 Brand#44   | SMALL BRUSHED TIN         |      3 |          452
 Brand#44   | SMALL POLISHED NICKEL     |     46 |          452
 Brand#44   | STANDARD BRUSHED STEEL    |     10 |          452
 Brand#44   | STANDARD BRUSHED STEEL    |     27 |          452
 Brand#44   | STANDARD BURNISHED NICKEL |     10 |          452
 Brand#44   | STANDARD POLISHED COPPER  |     24 |          452
 Brand#44   | STANDARD POLISHED STEEL   |     24 |          452
 Brand#45   | ECONOMY PLATED COPPER     |     46 |          452
 Brand#45   | ECONOMY PLATED STEEL      |      3 |          452
 Brand#45   | ECONOMY POLISHED BRASS    |      3 |          452
 Brand#45   | LARGE ANODIZED BRASS      |      5 |          452
 Brand#45   | LARGE BRUSHED NICKEL      |      3 |          452
 Brand#45   | LARGE BRUSHED STEEL       |     21 |          452
 Brand#45   | LARGE BURNISHED COPPER    |      5 |          452
 Brand#45   | LARGE BURNISHED COPPER    |     10 |          452
 Brand#45   | MEDIUM ANODIZED BRASS     |     21 |          452
 Brand#45   | MEDIUM ANODIZED BRASS     |     46 |          452
 Brand#45   | MEDIUM BRUSHED BRASS      |     21 |          452
 Brand#45   | MEDIUM BRUSHED COPPER     |     10 |          452
 Brand#45   | MEDIUM BURNISHED COPPER   |     10 |          452
 Brand#45   | MEDIUM POLISHED BRASS     |     27 |          452
 Brand#45   | MEDIUM POLISHED COPPER    |     24 |          452
 Brand#45   | MEDIUM POLISHED STEEL     |     46 |          452
 Brand#45   | PROMO ANODIZED TIN        |     46 |          452
 Brand#45   | PROMO POLISHED BRASS      |      5 |          452
 Brand#45   | PROMO POLISHED TIN        |      5 |          452
 Brand#45   | PROMO POLISHED TIN        |     24 |          452
 Brand#45   | SMALL ANODIZED TIN        |      3 |          452
 Brand#45   | SMALL ANODIZED TIN        |      5 |          452
 Brand#45   | SMALL ANODIZED TIN        |     15 |          452
 Brand#45   | SMALL BRUSHED COPPER      |     46 |          452
 Brand#45   | SMALL PLATED COPPER       |     15 |          452
 Brand#45   | SMALL POLISHED COPPER     |     15 |          452
 Brand#45   | STANDARD ANODIZED NICKEL  |     10 |          452
 Brand#45   | STANDARD BRUSHED COPPER   |     27 |          452
 Brand#45   | STANDARD BRUSHED STEEL    |     21 |          452
 Brand#45   | STANDARD BRUSHED TIN      |      3 |          452
 Brand#45   | STANDARD BRUSHED TIN      |     10 |          452
 Brand#45   | STANDARD PLATED NICKEL    |     10 |          452
 Brand#51   | ECONOMY BRUSHED COPPER    |     15 |          452
 Brand#51   | ECONOMY PLATED STEEL      |     24 |          452
 Brand#51   | ECONOMY POLISHED BRASS    |     46 |          452
 Brand#51   | ECONOMY POLISHED STEEL    |      5 |          452
 Brand#51   | LARGE ANODIZED BRASS      |      5 |          452
 Brand#51   | LARGE ANODIZED STEEL      |      3 |          452
 Brand#51   | LARGE BURNISHED BRASS     |     15 |          452
 Brand#51   | LARGE BURNISHED BRASS     |     27 |          452
 Brand#51   | MEDIUM ANODIZED NICKEL    |     46 |          452
 Brand#51   | MEDIUM ANODIZED STEEL     |     10 |          452
 Brand#51   | MEDIUM BRUSHED COPPER     |     27 |          452
 Brand#51   | MEDIUM BRUSHED STEEL      |      5 |          452
 Brand#51   | MEDIUM POLISHED COPPER    |     27 |          452
 Brand#51   | MEDIUM POLISHED COPPER    |     46 |          452
 Brand#51   | PROMO BRUSHED BRASS       |     46 |          452
 Brand#51   | PROMO BRUSHED STEEL       |     10 |          452
 Brand#51   | PROMO PLATED COPPER       |     27 |          452
 Brand#51   | PROMO POLISHED COPPER     |     15 |          452
 Brand#51   | PROMO POLISHED TIN        |     24 |          452
 Brand#51   | SMALL BRUSHED TIN         |     21 |          452
 Brand#51   | SMALL BURNISHED STEEL     |     21 |          452
 Brand#51   | SMALL BURNISHED TIN       |     27 |          452
 Brand#51   | SMALL POLISHED STEEL      |      3 |          452
 Brand#51   | STANDARD ANODIZED BRASS   |     10 |          452
 Brand#51   | STANDARD ANODIZED NICKEL  |      5 |          452
 Brand#51   | STANDARD ANODIZED TIN     |     15 |          452
 Brand#51   | STANDARD BURNISHED TIN    |     27 |          452
 Brand#51   | STANDARD PLATED TIN       |     27 |          452
 Brand#51   | STANDARD POLISHED COPPER  |      5 |          452
 Brand#51   | STANDARD POLISHED STEEL   |     24 |          452
 Brand#52   | ECONOMY ANODIZED NICKEL   |     24 |          452
 Brand#52   | ECONOMY BRUSHED COPPER    |     27 |          452
 Brand#52   | ECONOMY BURNISHED NICKEL  |     24 |          452
 Brand#52   | ECONOMY PLATED COPPER     |     27 |          452
 Brand#52   | ECONOMY POLISHED COPPER   |     24 |          452
 Brand#52   | ECONOMY POLISHED TIN      |     24 |          452
 Brand#52   | LARGE BRUSHED COPPER      |     46 |          452
 Brand#52   | MEDIUM ANODIZED NICKEL    |     15 |          452
 Brand#52   | MEDIUM BURNISHED BRASS    |      5 |          452
 Brand#52   | MEDIUM PLATED NICKEL      |      3 |          452
 Brand#52   | MEDIUM PLATED NICKEL      |     46 |          452
 Brand#52   | MEDIUM POLISHED STEEL     |     15 |          452
 Brand#52   | PROMO BRUSHED BRASS       |     21 |          452
 Brand#52   | PROMO BRUSHED COPPER      |      5 |          452
 Brand#52   | PROMO BRUSHED NICKEL      |     27 |          452
 Brand#52   | PROMO BRUSHED STEEL       |     46 |          452
 Brand#52   | SMALL ANODIZED STEEL      |     15 |          452
 Brand#52   | SMALL ANODIZED TIN        |      5 |          452
 Brand#52   | SMALL POLISHED STEEL      |     46 |          452
 Brand#52   | STANDARD ANODIZED STEEL   |      5 |          452
 Brand#52   | STANDARD BRUSHED TIN      |     46 |          452
 Brand#52   | STANDARD PLATED BRASS     |     21 |          452
 Brand#52   | STANDARD PLATED NICKEL    |     10 |          452
 Brand#52   | STANDARD POLISHED TIN     |     27 |          452
 Brand#53   | ECONOMY BRUSHED NICKEL    |      3 |          452
 Brand#53   | ECONOMY BURNISHED COPPER  |     15 |          452
 Brand#53   | ECONOMY PLATED COPPER     |     10 |          452
 Brand#53   | ECONOMY POLISHED NICKEL   |     46 |          452
 Brand#53   | LARGE BRUSHED STEEL       |     10 |          452
 Brand#53   | LARGE BURNISHED BRASS     |     46 |          452
 Brand#53   | LARGE BURNISHED TIN       |     15 |          452
 Brand#53   | MEDIUM PLATED COPPER      |     10 |          452
 Brand#53   | MEDIUM PLATED TIN         |      3 |          452
 Brand#53   | MEDIUM POLISHED STEEL     |      5 |          452
 Brand#53   | PROMO BURNISHED BRASS     |     15 |          452
 Brand#53   | PROMO PLATED NICKEL       |      3 |          452
 Brand#53   | PROMO POLISHED TIN        |     21 |          452
 Brand#53   | SMALL PLATED COPPER       |     15 |          452
 Brand#53   | SMALL PLATED STEEL        |     10 |          452
 Brand#53   | SMALL POLISHED NICKEL     |     46 |          452
 Brand#53   | STANDARD ANODIZED BRASS   |     10 |          452
 Brand#53   | STANDARD BRUSHED NICKEL   |     46 |          452
 Brand#53   | STANDARD PLATED BRASS     |      3 |          452
 Brand#53   | STANDARD PLATED TIN       |      5 |          452
 Brand#53   | STANDARD POLISHED STEEL   |     46 |          452
 Brand#53   | STANDARD POLISHED TIN     |     15 |          452
 Brand#54   | ECONOMY BRUSHED COPPER    |     15 |          452
 Brand#54   | ECONOMY PLATED STEEL      |     27 |          452
 Brand#54   | LARGE ANODIZED NICKEL     |     46 |          452
 Brand#54   | LARGE BURNISHED TIN       |     10 |          452
 Brand#54   | LARGE PLATED NICKEL       |     15 |          452
 Brand#54   | LARGE PLATED STEEL        |     10 |          452
 Brand#54   | MEDIUM ANODIZED TIN       |     10 |          452
 Brand#54   | MEDIUM PLATED COPPER      |     21 |          452
 Brand#54   | MEDIUM PLATED NICKEL      |     10 |          452
 Brand#54   | MEDIUM PLATED NICKEL      |     15 |          452
 Brand#54   | PROMO ANODIZED COPPER     |      5 |          452
 Brand#54   | PROMO ANODIZED TIN        |     15 |          452
 Brand#54   | PROMO BRUSHED NICKEL      |      3 |          452
 Brand#54   | PROMO PLATED BRASS        |     10 |          452
 Brand#54   | PROMO PLATED NICKEL       |      3 |          452
 Brand#54   | PROMO POLISHED COPPER     |      5 |          452
 Brand#54   | PROMO POLISHED COPPER     |     27 |          452
 Brand#54   | PROMO POLISHED NICKEL     |     21 |          452
 Brand#54   | SMALL BURNISHED BRASS     |     15 |          452
 Brand#54   | SMALL PLATED TIN          |     10 |          452
 Brand#54   | SMALL POLISHED STEEL      |     46 |          452
 Brand#54   | SMALL POLISHED TIN        |      3 |          452
 Brand#54   | STANDARD ANODIZED BRASS   |     21 |          452
 Brand#54   | STANDARD ANODIZED TIN     |      5 |          452
 Brand#54   | STANDARD BRUSHED STEEL    |     46 |          452
 Brand#54   | STANDARD BURNISHED NICKEL |     27 |          452
 Brand#54   | STANDARD PLATED NICKEL    |     10 |          452
 Brand#54   | STANDARD POLISHED NICKEL  |      5 |          452
 Brand#55   | ECONOMY ANODIZED TIN      |     46 |          452
 Brand#55   | LARGE ANODIZED NICKEL     |     10 |          452
 Brand#55   | LARGE BRUSHED STEEL       |     27 |          452
 Brand#55   | LARGE PLATED NICKEL       |     46 |          452
 Brand#55   | MEDIUM ANODIZED NICKEL    |     24 |          452
 Brand#55   | MEDIUM BRUSHED BRASS      |      3 |          452
 Brand#55   | MEDIUM BRUSHED STEEL      |     46 |          452
 Brand#55   | MEDIUM BRUSHED TIN        |     24 |          452
 Brand#55   | MEDIUM BURNISHED BRASS    |     46 |          452
 Brand#55   | MEDIUM PLATED TIN         |     24 |          452
 Brand#55   | MEDIUM POLISHED STEEL     |      3 |          452
 Brand#55   | PROMO ANODIZED TIN        |     24 |          452
 Brand#55   | PROMO BRUSHED BRASS       |     46 |          452
 Brand#55   | PROMO BURNISHED TIN       |     15 |          452
 Brand#55   | PROMO PLATED NICKEL       |      5 |          452
 Brand#55   | PROMO POLISHED COPPER     |     24 |          452
 Brand#55   | PROMO POLISHED STEEL      |     27 |          452
 Brand#55   | SMALL BRUSHED BRASS       |     27 |          452
 Brand#55   | SMALL BRUSHED NICKEL      |      3 |          452
 Brand#55   | SMALL BURNISHED STEEL     |     27 |          452
 Brand#55   | SMALL PLATED COPPER       |     24 |          452
 Brand#55   | STANDARD ANODIZED BRASS   |      5 |          452
 Brand#55   | STANDARD ANODIZED NICKEL  |     15 |          452
 Brand#55   | STANDARD ANODIZED STEEL   |     10 |          452
 Brand#55   | STANDARD BURNISHED BRASS  |      3 |          452
 Brand#55   | STANDARD PLATED BRASS     |     46 |          452
 Brand#55   | STANDARD PLATED TIN       |     46 |          452
 Brand#11   | MEDIUM ANODIZED BRASS     |     15 |          451
 Brand#11   | PROMO ANODIZED BRASS      |      3 |          451
 Brand#11   | PROMO POLISHED TIN        |     10 |          451
 Brand#11   | SMALL BRUSHED TIN         |     15 |          451
 Brand#13   | ECONOMY BRUSHED NICKEL    |      5 |          451
 Brand#13   | ECONOMY BURNISHED STEEL   |     27 |          451
 Brand#13   | MEDIUM BURNISHED BRASS    |      5 |          451
 Brand#13   | PROMO ANODIZED COPPER     |     21 |          451
 Brand#13   | PROMO BRUSHED STEEL       |     15 |          451
 Brand#13   | STANDARD PLATED BRASS     |     24 |          451
 Brand#13   | STANDARD PLATED COPPER    |     46 |          451
 Brand#14   | ECONOMY BURNISHED STEEL   |     15 |          451
 Brand#14   | SMALL POLISHED TIN        |     24 |          451
 Brand#14   | STANDARD ANODIZED BRASS   |     15 |          451
 Brand#14   | STANDARD PLATED NICKEL    |      5 |          451
 Brand#14   | STANDARD PLATED TIN       |     27 |          451
 Brand#15   | ECONOMY ANODIZED BRASS    |      5 |          451
 Brand#15   | PROMO BRUSHED STEEL       |     46 |          451
 Brand#15   | SMALL ANODIZED TIN        |     24 |          451
 Brand#15   | SMALL PLATED BRASS        |     10 |          451
 Brand#15   | SMALL PLATED COPPER       |     10 |          451
 Brand#15   | SMALL POLISHED STEEL      |     24 |          451
 Brand#15   | STANDARD BURNISHED TIN    |     46 |          451
 Brand#21   | ECONOMY ANODIZED STEEL    |      3 |          451
 Brand#21   | LARGE BRUSHED COPPER      |     15 |          451
 Brand#21   | MEDIUM PLATED STEEL       |     10 |          451
 Brand#21   | PROMO ANODIZED NICKEL     |     15 |          451
 Brand#21   | PROMO BURNISHED NICKEL    |     27 |          451
 Brand#21   | PROMO POLISHED NICKEL     |      3 |          451
 Brand#21   | SMALL BURNISHED STEEL     |      3 |          451
 Brand#22   | PROMO ANODIZED TIN        |     24 |          451
 Brand#22   | PROMO BURNISHED NICKEL    |     15 |          451
 Brand#22   | SMALL BURNISHED NICKEL    |     24 |          451
 Brand#22   | SMALL BURNISHED TIN       |      3 |          451
 Brand#22   | STANDARD POLISHED NICKEL  |     27 |          451
 Brand#23   | ECONOMY ANODIZED COPPER   |      3 |          451
 Brand#23   | ECONOMY POLISHED STEEL    |      3 |          451
 Brand#23   | MEDIUM POLISHED COPPER    |     27 |          451
 Brand#23   | PROMO BURNISHED TIN       |     24 |          451
 Brand#23   | SMALL ANODIZED BRASS      |     46 |          451
 Brand#23   | SMALL BURNISHED NICKEL    |     46 |          451
 Brand#23   | SMALL PLATED TIN          |     46 |          451
 Brand#23   | SMALL POLISHED STEEL      |     15 |          451
 Brand#23   | STANDARD ANODIZED BRASS   |      5 |          451
 Brand#23   | STANDARD ANODIZED BRASS   |     10 |          451
 Brand#23   | STANDARD POLISHED TIN     |     15 |          451
 Brand#24   | ECONOMY PLATED BRASS      |     24 |          451
 Brand#24   | ECONOMY POLISHED NICKEL   |      5 |          451
 Brand#24   | MEDIUM PLATED TIN         |     46 |          451
 Brand#24   | PROMO BRUSHED STEEL       |     46 |          451
 Brand#24   | PROMO BURNISHED COPPER    |     27 |          451
 Brand#24   | STANDARD BURNISHED COPPER |      3 |          451
 Brand#25   | ECONOMY ANODIZED STEEL    |     27 |          451
 Brand#25   | ECONOMY BURNISHED COPPER  |     27 |          451
 Brand#25   | MEDIUM PLATED TIN         |     24 |          451
 Brand#25   | MEDIUM POLISHED STEEL     |     10 |          451
 Brand#25   | PROMO BURNISHED STEEL     |     15 |          451
 Brand#25   | SMALL BURNISHED NICKEL    |     10 |          451
 Brand#25   | SMALL POLISHED COPPER     |     24 |          451
 Brand#25   | STANDARD PLATED BRASS     |     27 |          451
 Brand#31   | ECONOMY PLATED STEEL      |     15 |          451
 Brand#31   | MEDIUM ANODIZED STEEL     |     27 |          451
 Brand#31   | MEDIUM BURNISHED NICKEL   |     24 |          451
 Brand#31   | MEDIUM PLATED BRASS       |      3 |          451
 Brand#31   | MEDIUM POLISHED BRASS     |     24 |          451
 Brand#31   | SMALL ANODIZED NICKEL     |     10 |          451
 Brand#31   | SMALL ANODIZED TIN        |     15 |          451
 Brand#31   | SMALL BURNISHED COPPER    |     24 |          451
 Brand#31   | STANDARD ANODIZED STEEL   |     46 |          451
 Brand#31   | STANDARD BURNISHED BRASS  |     10 |          451
 Brand#32   | ECONOMY BRUSHED BRASS     |     27 |          451
 Brand#32   | ECONOMY BRUSHED TIN       |     24 |          451
 Brand#32   | ECONOMY BURNISHED TIN     |     27 |          451
 Brand#32   | LARGE ANODIZED NICKEL     |     21 |          451
 Brand#32   | MEDIUM BURNISHED COPPER   |     15 |          451
 Brand#32   | PROMO BRUSHED STEEL       |      3 |          451
 Brand#32   | PROMO POLISHED COPPER     |     10 |          451
 Brand#32   | PROMO POLISHED NICKEL     |     46 |          451
 Brand#32   | SMALL ANODIZED BRASS      |     10 |          451
 Brand#32   | SMALL ANODIZED BRASS      |     27 |          451
 Brand#32   | SMALL BURNISHED STEEL     |     21 |          451
 Brand#32   | STANDARD ANODIZED STEEL   |      5 |          451
 Brand#32   | STANDARD BURNISHED NICKEL |     21 |          451
 Brand#32   | STANDARD POLISHED BRASS   |      3 |          451
 Brand#32   | STANDARD POLISHED TIN     |     27 |          451
 Brand#33   | ECONOMY ANODIZED BRASS    |     27 |          451
 Brand#33   | ECONOMY BURNISHED BRASS   |     24 |          451
 Brand#33   | MEDIUM BURNISHED NICKEL   |     10 |          451
 Brand#33   | SMALL BRUSHED TIN         |      5 |          451
 Brand#33   | SMALL POLISHED NICKEL     |     21 |          451
 Brand#33   | STANDARD BRUSHED BRASS    |     24 |          451
 Brand#34   | LARGE BRUSHED STEEL       |      3 |          451
 Brand#34   | LARGE BURNISHED NICKEL    |      3 |          451
 Brand#34   | MEDIUM ANODIZED STEEL     |     10 |          451
 Brand#34   | PROMO BURNISHED BRASS     |      3 |          451
 Brand#34   | PROMO PLATED STEEL        |      5 |          451
 Brand#34   | PROMO POLISHED STEEL      |     10 |          451
 Brand#34   | SMALL BRUSHED NICKEL      |      5 |          451
 Brand#34   | STANDARD ANODIZED BRASS   |     10 |          451
 Brand#34   | STANDARD BURNISHED TIN    |     21 |          451
 Brand#35   | ECONOMY POLISHED STEEL    |     21 |          451
 Brand#35   | LARGE ANODIZED BRASS      |     24 |          451
 Brand#35   | LARGE BURNISHED TIN       |      3 |          451
 Brand#35   | LARGE PLATED BRASS        |     27 |          451
 Brand#35   | MEDIUM BRUSHED NICKEL     |     21 |          451
 Brand#35   | MEDIUM BRUSHED TIN        |     15 |          451
 Brand#35   | MEDIUM POLISHED BRASS     |     21 |          451
 Brand#35   | PROMO BRUSHED STEEL       |      3 |          451
 Brand#35   | PROMO PLATED TIN          |     27 |          451
 Brand#35   | PROMO POLISHED COPPER     |     27 |          451
 Brand#35   | SMALL PLATED TIN          |      5 |          451
 Brand#35   | SMALL PLATED TIN          |     10 |          451
 Brand#35   | SMALL POLISHED COPPER     |     10 |          451
 Brand#35   | SMALL POLISHED NICKEL     |     10 |          451
 Brand#41   | MEDIUM BURNISHED TIN      |     24 |          451
 Brand#41   | PROMO BRUSHED BRASS       |     10 |          451
 Brand#41   | SMALL BURNISHED STEEL     |      3 |          451
 Brand#42   | ECONOMY BRUSHED TIN       |     27 |          451
